Close,Date,High,Low,Open,Volume
1.26587,2016-12-13T22:30:00.000000000Z,1.26621,1.2657,1.26618,459
1.26568,2016-12-13T23:00:00.000000000Z,1.26624,1.26564,1.26588,1553
1.26615,2016-12-13T23:30:00.000000000Z,1.26656,1.26554,1.26569,654
1.26589,2016-12-14T00:00:00.000000000Z,1.26648,1.26572,1.26614,834
1.26533,2016-12-14T00:30:00.000000000Z,1.26597,1.26524,1.26588,237
1.26424,2016-12-14T01:00:00.000000000Z,1.26586,1.26408,1.26535,432
1.26501,2016-12-14T01:30:00.000000000Z,1.26554,1.26426,1.26426,217
1.26519,2016-12-14T02:00:00.000000000Z,1.26534,1.26468,1.26507,128
1.2654,2016-12-14T02:30:00.000000000Z,1.26558,1.26508,1.26514,135
1.26563,2016-12-14T03:00:00.000000000Z,1.26569,1.26518,1.26534,286
1.2656,2016-12-14T03:30:00.000000000Z,1.26604,1.26544,1.26557,215
1.2657,2016-12-14T04:00:00.000000000Z,1.26575,1.2653,1.26554,116
1.26544,2016-12-14T04:30:00.000000000Z,1.26584,1.26529,1.2657,198
1.2653,2016-12-14T05:00:00.000000000Z,1.26547,1.26511,1.26544,164
1.26545,2016-12-14T05:30:00.000000000Z,1.2656,1.26512,1.26536,177
1.26628,2016-12-14T06:00:00.000000000Z,1.26636,1.26528,1.2654,159
1.26564,2016-12-14T06:30:00.000000000Z,1.26705,1.2656,1.26627,193
1.26643,2016-12-14T07:00:00.000000000Z,1.26673,1.26553,1.26558,326
1.2667,2016-12-14T07:30:00.000000000Z,1.26766,1.26631,1.26637,520
1.26711,2016-12-14T08:00:00.000000000Z,1.26722,1.26622,1.26676,408
1.26744,2016-12-14T08:30:00.000000000Z,1.26791,1.26634,1.26717,635
1.26575,2016-12-14T09:00:00.000000000Z,1.26845,1.26523,1.26749,655
1.26565,2016-12-14T09:30:00.000000000Z,1.26699,1.26562,1.26592,662
1.26536,2016-12-14T10:00:00.000000000Z,1.26578,1.26421,1.26559,592
1.26552,2016-12-14T10:30:00.000000000Z,1.26598,1.265,1.26538,462
1.26519,2016-12-14T11:00:00.000000000Z,1.26588,1.26357,1.26547,469
1.26502,2016-12-14T11:30:00.000000000Z,1.26524,1.26363,1.26513,566
1.2668,2016-12-14T12:00:00.000000000Z,1.26686,1.26453,1.26496,462
1.26808,2016-12-14T12:30:00.000000000Z,1.26819,1.26588,1.26686,615
1.26936,2016-12-14T13:00:00.000000000Z,1.26985,1.2674,1.26804,543
1.2701,2016-12-14T13:30:00.000000000Z,1.27085,1.26892,1.26954,1058
1.26962,2016-12-14T14:00:00.000000000Z,1.27158,1.26938,1.27006,877
1.27015,2016-12-14T14:30:00.000000000Z,1.27083,1.26917,1.26967,612
1.27113,2016-12-14T15:00:00.000000000Z,1.27135,1.26958,1.2701,964
1.27008,2016-12-14T15:30:00.000000000Z,1.27143,1.26937,1.27113,887
1.27033,2016-12-14T16:00:00.000000000Z,1.27208,1.26989,1.27014,682
1.27126,2016-12-14T16:30:00.000000000Z,1.27179,1.27029,1.27037,437
1.27023,2016-12-14T17:00:00.000000000Z,1.27151,1.26989,1.27131,286
1.2698,2016-12-14T17:30:00.000000000Z,1.27094,1.26924,1.27028,370
1.26872,2016-12-14T18:00:00.000000000Z,1.26984,1.26771,1.26976,408
1.27237,2016-12-14T18:30:00.000000000Z,1.2726,1.2681,1.26877,1000
1.2622,2016-12-14T19:00:00.000000000Z,1.2726,1.26091,1.2726,6874
1.26008,2016-12-14T19:30:00.000000000Z,1.26401,1.25903,1.26218,2855
